행정동명,보증금(만원),임대료(만원),임대면적(㎡)
중곡2동,3000.0,50.0,33.0
중림동,6413.0,120.0,59.943
중화2동,2000.0,47.0,33.41
증산동,5000.0,55.0,48.96
진관동,2984.0,57.0,24.91
창2동,2000.0,60.0,39.92
창신3동,1000.0,50.0,38.57
천연동,5000.0,70.0,56.02
천호2동,3000.0,50.0,29.865000000000002
청구동,3000.0,68.0,36.3
청담동,10000.0,130.0,49.619
청량리동,1000.0,79.0,23.14
청운효자동,8000.0,65.0,46.74
청파동,1000.0,55.0,24.92
충현동,4870.0,43.0,23.14
평창동,10000.0,80.0,79.373
풍납2동,5000.0,50.0,40.0
필동,1000.0,55.5,24.355
하계1동,3000.0,63.0,44.52
한강로동,10000.0,110.0,42.5
한남동,5000.0,250.0,59.5
합정동,3000.0,65.0,31.0
항동,6583.0,34.0,59.86
행당2동,3000.0,65.0,29.43
혜화동,1000.0,60.0,20.88
홍은1동,1000.0,47.0,32.135000000000005
홍제3동,5000.0,53.0,44.53
화곡1동,3000.0,50.0,30.0
화양동,1000.0,60.0,18.66
황학동,3000.0,70.0,26.46
회기동,1000.0,55.0,20.34
회현동,3000.0,60.0,28.85
효창동,10000.0,67.5,52.275
후암동,3000.0,60.0,41.599999999999994
휘경2동,1000.0,55.0,19.0
흑석동,2000.0,60.0,27.0
