행정동명,lat,lon
가락2동,37.4986984316406,127.126640056537
가리봉동,37.4825327471336,126.889718085071
가산동,37.4768763179224,126.891779471155
가양1동,37.5694972894276,126.844728733334
가회동,37.5800968068427,126.984784487479
갈현2동,37.6185545088606,126.915845712352
강일동,37.5650420192003,127.173906305383
개봉3동,37.4860041527512,126.853852194023
개포3동,37.4921731813158,127.073699594468
거여2동,37.4935212106894,127.146908778436
고덕2동,37.560525481066,127.164365974379
고척1동,37.5003552584694,126.862762866771
공덕동,37.5501743473819,126.960034513244
공릉2동,37.6213085353563,127.083296516416
광장동,37.5468565308903,127.103025712709
광희동,37.5644311770076,127.005052665365
교남동,37.5683831622412,126.964634002163
구로2동,37.4913926941214,126.883499417136
구산동,37.6117570303251,126.910376186527
구의1동,37.5424122510282,127.085675411153
군자동,37.5554765598173,127.075350846159
금호1가동,37.554849901366,127.021643100245
금호23가동,37.5532931077203,127.020918361398
금호4가동,37.5471912743568,127.022401326841
길동,37.5344859624469,127.142712345548
길음1동,37.6103983239178,127.019502782008
길음2동,37.606695510248,127.02731160121
난향동,37.4615014997897,126.918789051991
남가좌2동,37.5784478485822,126.923874309123
남영동,37.5430061454345,126.973322683547
남현동,37.4745631666845,126.977909779402
내곡동,37.4582463131037,127.076916934729
노량진1동,37.5132063487675,126.946567052979
녹번동,37.602216160965,126.929919982801
논현2동,37.517393186314,127.037350857638
능동,37.5537792609497,127.080536887135
답십리2동,37.5673273970901,127.061286310887
당산1동,37.5249733938377,126.89738449562
당산2동,37.5310028334211,126.897312879485
대림2동,37.4927542307882,126.898256326744
대방동,37.5081642609998,126.926343500008
대조동,37.6141899645264,126.920825111083
도곡2동,37.483728401654,127.046383821773
도림동,37.5094388403258,126.895944463887
도봉2동,37.6697151863201,127.046549203471
도화동,37.5415497123869,126.949873511116
독산3동,37.4751490651627,126.903182137349
동선동,37.5939893305551,127.020417940307
둔촌2동,37.5333480007965,127.141963454031
등촌1동,37.5558415907103,126.858921911462
마장동,37.566379547987,127.045325760782
마천1동,37.4960185554884,127.149971448599
망우본동,37.6005319691714,127.101414648372
망원1동,37.5555962174351,126.905604188078
면목본동,37.5872805191923,127.087488538133
명동,37.5583576447484,126.985241620075
명일1동,37.5512605741443,127.144346767847
목5동,37.53717991831,126.881717459292
무악동,37.5759854736853,126.958245677349
묵1동,37.6124136763103,127.078484387322
문래동,37.5171112504905,126.899485634762
미아동,37.6270831294021,127.027060776679
반포3동,37.5120469957584,127.00561014665
반포4동,37.4974688612417,127.000307593388
발산1동,37.5530979481591,126.833264722295
방배본동,37.4942175065077,126.988886408987
방학3동,37.6591579398209,127.028033457923
방화1동,37.5703442238475,126.817052873863
방화2동,37.5667130007593,126.80673880486
번2동,37.6276612500456,127.035090468244
보광동,37.5262721673188,127.000171956489
보문동,37.5803802951263,127.022823355231
부암동,37.5924142953536,126.964061015983
북가좌1동,37.5742792384461,126.910185660454
북아현동,37.559565244981,126.956901214305
불광2동,37.6265016239314,126.92730531944
사근동,37.5614997515694,127.045327331714
사당2동,37.4887524986309,126.979253427857
사당3동,37.4866246436295,126.972085412956
사직동,37.5754222287938,126.96631967084
삼선동,37.5908295073389,127.014651562653
삼성2동,37.511263280788,127.046070584216
삼전동,37.5027233386057,127.092519707191
삼청동,37.5849977825639,126.981758302922
상계67동,37.6548860243488,127.066965479758
상도1동,37.5032426328398,126.94974984805
상봉1동,37.59984775288,127.087213355959
상암동,37.5783209050877,126.894689433213
상일1동,37.5506429952456,127.164620395091
서강동,37.5477468723032,126.932030551178
서교동,37.5550949138083,126.914613374473
서빙고동,37.5204623812775,126.994638088433
서초3동,37.4837080639573,127.01200750943
석관동,37.6129860183721,127.0614007785
석촌동,37.5035646306702,127.103667384036
성내3동,37.5260568372238,127.13289932744
