행정동명,lat,lon
성북동,37.5910466093958,127.003274531869
성산2동,37.5686128513415,126.908969977715
성수1가1동,37.5420797008053,127.049651600525
성수2가3동,37.5482184239097,127.055250421934
세곡동,37.4644437055761,127.106760267266
소공동,37.5638997702146,126.97979400965
송정동,37.5545322586259,127.069569072089
송파2동,37.5023378540006,127.116766391715
수궁동,37.4938815927112,126.831478611978
수색동,37.5835205431622,126.893690338772
수서동,37.4868187699686,127.105426218127
수유1동,37.6292195545746,127.007105243262
숭인2동,37.5748775396923,127.01996896628
시흥1동,37.4535392677412,126.903250685753
신길7동,37.5063735330337,126.921477469472
신내1동,37.6058746703089,127.099496657031
신당동,37.5620157313143,127.014442188261
신대방1동,37.4889471309296,126.910048211189
신도림동,37.5077809050365,126.880610228674
신수동,37.5470206619261,126.935226865858
신월3동,37.5336736083473,126.829053899725
신정1동,37.5185381615639,126.854272909009
신촌동,37.5651616940517,126.93927687604
쌍문3동,37.6489660489945,127.027934441938
안암동,37.5858189680127,127.021344106907
암사1동,37.5515625771126,127.132682054831
압구정동,37.5306686414268,127.030809170421
양재1동,37.4716393313202,127.026728803944
양평1동,37.5236460161437,126.888227693253
양평2동,37.5377447245086,126.89594587648
여의동,37.5176044401503,126.934609800644
역삼1동,37.4954279212043,127.033201088112
역촌동,37.6043976551679,126.915123289569
연남동,37.5644776141885,126.922023205508
연희동,37.5739100104158,126.935230751932
염리동,37.5470619620453,126.94565571696
염창동,37.553736243135,126.870985348962
영등포동,37.5134118222973,126.906168599588
오금동,37.5029748269764,127.128103930329
오류1동,37.4970933382633,126.845050656227
오류2동,37.4887786989241,126.839536320952
오륜동,37.515416211056,127.134305677243
옥수동,37.5435886378543,127.013438338877
왕십리2동,37.561796307227,127.030994021909
왕십리도선동,37.5678811410707,127.025531625263
용강동,37.54231770904,126.942708117541
용답동,37.5640758244216,127.055579052769
용문동,37.5377008640148,126.959891817892
용산2가동,37.5461257352926,126.985574456915
용두동,37.575418648042,127.033598820976
우이동,37.6630390800112,127.001890452891
원효로1동,37.5373284451334,126.967712666408
원효로2동,37.5343604221086,126.951530188917
월계2동,37.6324884457576,127.050744895708
월곡2동,37.6057915694886,127.047886454933
위례동,37.4811482419831,127.144257010883
은천동,37.4853777674732,126.94250287828
을지로동,37.5665933374822,126.991062500268
응봉동,37.553160488276,127.033416807797
응암3동,37.5922419251438,126.915734945869
이문1동,37.5978219540464,127.065505630651
이촌2동,37.5262598665621,126.954675898191
이태원1동,37.5325069970311,126.99509883212
이화동,37.5769946840177,127.004338052474
자양4동,37.5340742469272,127.066305179223
잠실6동,37.5181274574865,127.100660517951
잠실본동,37.5060603472207,127.083254253495
장안1동,37.5677895234585,127.066439189872
장위1동,37.6140390353236,127.043732759303
장지동,37.4785083981102,127.136582139995
장충동,37.5619118374182,127.007859437008
전농1동,37.5780230697113,127.047705647167
정릉3동,37.6089294464121,127.004190410838
제기동,37.5831154639891,127.037818414722
종로1234가동,37.5744355396605,126.990287260844
종로56가동,37.5720319758374,127.005071290563
종암동,37.5990602270306,127.035212918853
중계1동,37.6525478299759,127.077502189744
중곡2동,37.5602945934343,127.081526307691
중림동,37.559168225382,126.966182119336
중화2동,37.6020061617272,127.077399901172
증산동,37.5843030609174,126.907039772766
진관동,37.6349668825061,126.92106591289
창2동,37.6413776828686,127.035658904706
창신3동,37.5778623689298,127.015002228159
천연동,37.5675017663094,126.958422464555
천호2동,37.5423772043678,127.128329732293
청구동,37.5570313818502,127.014717375081
청담동,37.5250293348772,127.049233039691
청량리동,37.5830468218369,127.048170770368
청운효자동,37.5841161738353,126.97064969123
청파동,37.54543080354,126.969863704612
충현동,37.5648190388811,126.954715932221
평창동,37.6063916960375,126.968357810931
풍납2동,37.5292392251138,127.115731280691
필동,37.5601640832367,126.995599542438
하계1동,37.6405462557667,127.072581464765
한강로동,37.5281422426636,126.969228070947
한남동,37.5346298557798,127.000552132438
합정동,37.5516618139957,126.911756414276
항동,37.4801853131194,126.823409784343
행당2동,37.5582648219048,127.0293401659
혜화동,37.5868624440017,127.00060686405
홍은1동,37.5989166778931,126.947108251212
홍제3동,37.5937821789847,126.949743382569
