행정동_코드,행정동_코드_명,medical,education,shopping,bank,gov,culture,intercity,intracity
11650580,반포3동,11.0,2.0,0.0,7.0,3.0,0.0,0.0,18.0
11650570,반포2동,5.0,3.0,1.0,5.0,4.0,0.0,0.0,26.0
11650560,반포1동,21.0,5.0,0.0,6.0,6.0,0.0,0.0,27.0
11650550,반포본동,2.0,5.0,1.0,3.0,1.0,0.0,0.0,6.0
11650540,잠원동,13.0,3.0,0.0,8.0,3.0,0.0,0.0,25.0
11650531,서초4동,32.0,5.0,0.0,13.0,2.0,1.0,0.0,36.0
11650530,서초3동,33.0,8.0,0.0,30.0,25.0,0.0,0.0,80.0
11650520,서초2동,24.0,3.0,0.0,26.0,8.0,1.0,0.0,49.0
11650510,서초1동,15.0,15.0,0.0,10.0,4.0,0.0,0.0,40.0
11620775,난곡동,11.0,6.0,1.0,1.0,2.0,0.0,0.0,28.0
11620765,미성동,12.0,7.0,0.0,3.0,3.0,1.0,0.0,44.0
11620745,삼성동,7.0,3.0,0.0,0.0,3.0,3.0,0.0,44.0
11620735,대학동,11.0,144.0,0.0,6.0,5.0,0.0,0.0,73.0
11620725,조원동,13.0,1.0,1.0,1.0,3.0,0.0,0.0,30.0
11620715,난향동,5.0,1.0,0.0,0.0,1.0,0.0,0.0,34.0
11620695,신림동,17.0,0.0,0.0,3.0,2.0,4.0,0.0,17.0
11620685,신사동,11.0,3.0,1.0,2.0,3.0,0.0,0.0,21.0
11620665,서림동,5.0,3.0,0.0,0.0,2.0,0.0,0.0,34.0
11620655,신원동,7.0,2.0,0.0,1.0,6.0,0.0,0.0,10.0
11620645,서원동,11.0,1.0,0.0,1.0,3.0,1.0,0.0,27.0
11620630,남현동,6.0,3.0,0.0,1.0,3.0,0.0,0.0,6.0
11620625,인헌동,14.0,3.0,2.0,5.0,2.0,0.0,0.0,24.0
11620615,중앙동,15.0,1.0,0.0,3.0,1.0,0.0,0.0,13.0
11620605,은천동,9.0,5.0,0.0,0.0,6.0,0.0,0.0,43.0
11620595,청룡동,24.0,7.0,1.0,6.0,5.0,2.0,0.0,16.0
11620585,낙성대동,10.0,38.0,0.0,3.0,2.0,2.0,0.0,37.0
11620575,행운동,15.0,6.0,0.0,3.0,3.0,0.0,0.0,15.0
11620565,성현동,6.0,7.0,0.0,0.0,4.0,0.0,0.0,38.0
11620545,청림동,4.0,2.0,0.0,0.0,2.0,2.0,0.0,7.0
11620525,보라매동,5.0,3.0,0.0,1.0,1.0,0.0,0.0,25.0
11590680,신대방2동,17.0,3.0,0.0,7.0,7.0,0.0,0.0,29.0
11590670,신대방1동,10.0,6.0,0.0,1.0,3.0,0.0,0.0,16.0
11590660,대방동,16.0,14.0,0.0,5.0,5.0,0.0,0.0,63.0
11590651,사당5동,3.0,5.0,0.0,0.0,4.0,0.0,0.0,28.0
11590650,사당4동,6.0,1.0,1.0,1.0,2.0,0.0,0.0,4.0
11590640,사당3동,5.0,6.0,1.0,1.0,3.0,0.0,0.0,31.0
11590630,사당2동,14.0,4.0,0.0,2.0,3.0,2.0,0.0,40.0
11590620,사당1동,14.0,3.0,0.0,6.0,4.0,2.0,0.0,15.0
11590605,흑석동,25.0,26.0,0.0,6.0,6.0,1.0,0.0,51.0
11590560,상도4동,12.0,6.0,0.0,1.0,3.0,1.0,0.0,36.0
11590550,상도3동,11.0,1.0,1.0,2.0,2.0,0.0,0.0,36.0
11590540,상도2동,16.0,3.0,1.0,3.0,6.0,1.0,0.0,42.0
11590530,상도1동,17.0,28.0,0.0,4.0,5.0,0.0,0.0,49.0
11590520,노량진2동,15.0,1.0,0.0,4.0,5.0,1.0,0.0,14.0
11590510,노량진1동,14.0,7.0,0.0,4.0,5.0,2.0,0.0,60.0
11560720,대림3동,12.0,8.0,1.0,7.0,2.0,0.0,0.0,48.0
11560710,대림2동,17.0,3.0,0.0,2.0,4.0,1.0,0.0,13.0
11560700,대림1동,20.0,2.0,2.0,4.0,2.0,3.0,0.0,16.0
11560690,신길7동,7.0,2.0,0.0,1.0,5.0,1.0,0.0,33.0
11560680,신길6동,15.0,3.0,1.0,1.0,4.0,2.0,0.0,30.0
11560670,신길5동,0.0,4.0,0.0,0.0,3.0,5.0,0.0,31.0
11560660,신길4동,2.0,3.0,0.0,1.0,1.0,0.0,0.0,13.0
11560650,신길3동,13.0,4.0,0.0,5.0,3.0,2.0,0.0,32.0
11560630,신길1동,15.0,1.0,0.0,2.0,1.0,4.0,0.0,27.0
11560620,양평2동,7.0,6.0,0.0,6.0,8.0,3.0,0.0,36.0
11560610,양평1동,7.0,2.0,0.0,3.0,5.0,1.0,0.0,23.0
11560605,문래동,17.0,5.0,0.0,9.0,8.0,2.0,0.0,57.0
11560585,도림동,6.0,2.0,0.0,0.0,2.0,0.0,0.0,28.0
11560560,당산2동,20.0,7.0,0.0,4.0,6.0,0.0,0.0,48.0
11560550,당산1동,9.0,1.0,0.0,5.0,6.0,12.0,0.0,25.0
11560540,여의동,45.0,6.0,0.0,70.0,23.0,1.0,0.0,66.0
11560535,영등포동,41.0,2.0,0.0,17.0,10.0,17.0,0.0,42.0
11560515,영등포본동,10.0,7.0,0.0,0.0,4.0,3.0,0.0,24.0
11545710,시흥5동,16.0,5.0,0.0,0.0,3.0,0.0,0.0,37.0
11545700,시흥4동,6.0,2.0,0.0,1.0,1.0,0.0,0.0,27.0
11545690,시흥3동,5.0,3.0,0.0,3.0,3.0,1.0,0.0,21.0
11545680,시흥2동,3.0,8.0,0.0,0.0,2.0,0.0,0.0,30.0
11545670,시흥1동,28.0,7.0,0.0,7.0,9.0,3.0,0.0,53.0
11545640,독산4동,5.0,1.0,0.0,2.0,5.0,0.0,0.0,16.0
11545630,독산3동,14.0,7.0,1.0,4.0,4.0,0.0,0.0,29.0
11545620,독산2동,8.0,3.0,0.0,1.0,2.0,0.0,0.0,11.0
11545610,독산1동,19.0,9.0,0.0,6.0,3.0,4.0,0.0,74.0
11545510,가산동,22.0,2.0,0.0,25.0,10.0,18.0,0.0,114.0
11530800,항동,2.0,12.0,0.0,0.0,1.0,0.0,0.0,37.0
11530790,수궁동,5.0,10.0,1.0,1.0,3.0,0.0,0.0,72.0
11530780,오류2동,10.0,12.0,0.0,1.0,3.0,0.0,0.0,87.0
11530770,오류1동,11.0,4.0,0.0,4.0,5.0,0.0,0.0,23.0
11530760,개봉3동,9.0,5.0,1.0,2.0,3.0,1.0,0.0,23.0
11530750,개봉2동,10.0,2.0,1.0,3.0,3.0,1.0,0.0,26.0
