행정동_코드,행정동_코드_명,medical,education,shopping,bank,gov,culture,intercity,intracity
11230710,회기동,11.0,20.0,0.0,5.0,3.0,0.0,0.0,10.0
11230705,청량리동,17.0,6.0,0.0,4.0,9.0,2.0,0.0,34.0
11230660,장안2동,23.0,5.0,0.0,2.0,3.0,2.0,0.0,38.0
11230650,장안1동,30.0,6.0,0.0,11.0,5.0,0.0,0.0,44.0
11230610,답십리2동,15.0,4.0,3.0,2.0,3.0,0.0,0.0,19.0
11230600,답십리1동,9.0,3.0,0.0,5.0,4.0,0.0,0.0,25.0
11230570,전농2동,12.0,36.0,0.0,2.0,2.0,0.0,0.0,15.0
11230560,전농1동,14.0,6.0,0.0,2.0,5.0,6.0,0.0,38.0
11230545,제기동,23.0,8.0,3.0,5.0,4.0,14.0,0.0,31.0
11230536,용신동,25.0,4.0,1.0,8.0,10.0,5.0,0.0,46.0
11215870,구의3동,16.0,3.0,1.0,4.0,5.0,1.0,0.0,27.0
11215860,구의2동,10.0,6.0,0.0,2.0,3.0,0.0,0.0,25.0
11215850,구의1동,9.0,3.0,0.0,4.0,2.0,0.0,0.0,17.0
11215847,자양4동,16.0,2.0,1.0,2.0,5.0,1.0,0.0,17.0
11215840,자양3동,8.0,7.0,1.0,6.0,2.0,1.0,0.0,30.0
11215830,자양2동,8.0,9.0,1.0,1.0,2.0,0.0,0.0,21.0
11215820,자양1동,15.0,4.0,0.0,4.0,3.0,0.0,0.0,17.0
11215810,광장동,9.0,21.0,0.0,9.0,5.0,0.0,0.0,33.0
11215780,능동,6.0,2.0,0.0,0.0,4.0,0.0,0.0,6.0
11215770,중곡4동,7.0,4.0,0.0,2.0,2.0,0.0,0.0,37.0
11215760,중곡3동,10.0,2.0,1.0,1.0,3.0,0.0,0.0,30.0
11215750,중곡2동,14.0,2.0,0.0,4.0,2.0,0.0,0.0,23.0
11215740,중곡1동,10.0,1.0,1.0,0.0,2.0,0.0,0.0,19.0
11215730,군자동,13.0,23.0,0.0,5.0,5.0,1.0,0.0,23.0
11215710,화양동,18.0,39.0,0.0,5.0,3.0,1.0,0.0,18.0
11200790,용답동,8.0,1.0,1.0,2.0,7.0,0.0,0.0,13.0
11200720,송정동,6.0,1.0,0.0,0.0,2.0,0.0,0.0,17.0
11200690,성수2가3동,11.0,2.0,0.0,16.0,3.0,1.0,0.0,21.0
11200670,성수2가1동,13.0,4.0,2.0,3.0,3.0,1.0,0.0,38.0
11200660,성수1가2동,6.0,3.0,0.0,6.0,3.0,0.0,0.0,13.0
11200650,성수1가1동,4.0,5.0,0.0,2.0,4.0,1.0,0.0,34.0
11200645,옥수동,10.0,6.0,0.0,2.0,4.0,0.0,0.0,47.0
11200620,금호4가동,6.0,3.0,0.0,3.0,3.0,0.0,0.0,28.0
11200615,금호2?3가동,13.0,1.0,0.0,2.0,3.0,0.0,0.0,46.0
11200590,금호1가동,6.0,3.0,0.0,0.0,2.0,0.0,0.0,46.0
11200580,응봉동,2.0,2.0,0.0,0.0,3.0,0.0,0.0,31.0
11200570,행당2동,4.0,4.0,0.0,2.0,2.0,0.0,0.0,25.0
11200560,행당1동,15.0,2.0,1.0,4.0,9.0,1.0,0.0,34.0
11200550,사근동,11.0,57.0,1.0,3.0,5.0,0.0,0.0,36.0
11200540,마장동,8.0,6.0,0.0,5.0,6.0,0.0,0.0,30.0
11200535,왕십리도선동,22.0,6.0,0.0,4.0,4.0,0.0,0.0,26.0
11200520,왕십리2동,5.0,2.0,0.0,0.0,2.0,0.0,0.0,19.0
11170700,보광동,8.0,9.0,0.0,1.0,4.0,0.0,0.0,14.0
11170690,서빙고동,1.0,2.0,0.0,1.0,15.0,0.0,0.0,22.0
11170685,한남동,14.0,4.0,3.0,11.0,30.0,0.0,0.0,38.0
11170660,이태원2동,3.0,3.0,0.0,5.0,8.0,0.0,0.0,22.0
11170650,이태원1동,3.0,1.0,3.0,5.0,8.0,0.0,0.0,15.0
11170640,이촌2동,1.0,0.0,0.0,0.0,2.0,0.0,0.0,11.0
11170630,이촌1동,13.0,5.0,1.0,9.0,4.0,0.0,0.0,14.0
11170625,한강로동,21.0,3.0,5.0,19.0,19.0,5.0,0.0,48.0
11170590,용문동,3.0,0.0,0.0,0.0,1.0,0.0,0.0,22.0
11170580,효창동,5.0,3.0,0.0,1.0,1.0,0.0,0.0,24.0
11170570,원효로2동,4.0,5.0,2.0,2.0,4.0,0.0,0.0,27.0
11170560,원효로1동,6.0,5.0,4.0,3.0,6.0,0.0,0.0,31.0
11170555,청파동,12.0,30.0,1.0,2.0,7.0,1.0,0.0,35.0
11170530,남영동,14.0,1.0,0.0,5.0,7.0,12.0,0.0,29.0
11170520,용산2가동,4.0,5.0,0.0,0.0,3.0,0.0,0.0,30.0
11170510,후암동,7.0,4.0,2.0,1.0,6.0,0.0,0.0,18.0
11140680,중림동,7.0,4.0,0.0,2.0,3.0,5.0,0.0,14.0
11140670,황학동,10.0,0.0,0.0,6.0,1.0,7.0,0.0,6.0
11140665,동화동,5.0,2.0,0.0,1.0,3.0,0.0,0.0,6.0
11140650,신당5동,5.0,3.0,0.0,2.0,4.0,0.0,0.0,12.0
11140645,청구동,3.0,5.0,0.0,0.0,2.0,0.0,0.0,5.0
11140635,약수동,13.0,2.0,0.0,2.0,4.0,0.0,0.0,14.0
11140625,다산동,10.0,3.0,0.0,4.0,3.0,1.0,0.0,8.0
11140615,신당동,13.0,5.0,3.0,5.0,7.0,1.0,0.0,10.0
11140605,을지로동,13.0,0.0,1.0,10.0,5.0,5.0,0.0,24.0
11140590,광희동,15.0,1.0,1.0,16.0,3.0,14.0,0.0,22.0
11140580,장충동,1.0,4.0,0.0,2.0,6.0,3.0,0.0,14.0
11140570,필동,8.0,22.0,0.0,9.0,6.0,3.0,0.0,17.0
11140550,명동,35.0,5.0,0.0,46.0,20.0,15.0,0.0,30.0
11140540,회현동,16.0,3.0,2.0,17.0,9.0,3.0,0.0,41.0
11140520,소공동,10.0,8.0,1.0,29.0,13.0,6.0,0.0,40.0
11110710,숭인2동,5.0,0.0,2.0,3.0,4.0,3.0,0.0,8.0
11110700,숭인1동,3.0,1.0,0.0,1.0,3.0,0.0,0.0,14.0
11110690,창신3동,1.0,2.0,0.0,0.0,3.0,0.0,0.0,6.0
11110680,창신2동,5.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0
11110670,창신1동,9.0,2.0,1.0,4.0,3.0,7.0,0.0,13.0
11110650,혜화동,16.0,35.0,0.0,5.0,6.0,1.0,0.0,36.0
11110640,이화동,12.0,39.0,0.0,4.0,4.0,0.0,0.0,29.0
11110630,종로5?6가동,31.0,2.0,4.0,8.0,7.0,3.0,0.0,24.0
11110615,종로1?2?3?4가동,47.0,7.0,1.0,35.0,19.0,22.0,0.0,77.0
11110600,가회동,1.0,6.0,0.0,3.0,5.0,0.0,0.0,22.0
11110580,교남동,19.0,2.0,0.0,3.0,4.0,0.0,0.0,26.0
11110570,무악동,5.0,2.0,0.0,1.0,2.0,0.0,0.0,8.0
11110560,평창동,6.0,4.0,0.0,2.0,6.0,0.0,0.0,91.0
11110550,부암동,1.0,19.0,0.0,2.0,4.0,0.0,0.0,38.0
11110540,삼청동,2.0,4.0,0.0,4.0,10.0,0.0,0.0,16.0
11110530,사직동,15.0,3.0,0.0,24.0,18.0,3.0,0.0,36.0
11110515,청운효자동,4.0,14.0,0.0,3.0,6.0,0.0,0.0,26.0
