행정동명,보증금(만원),임대면적(㎡),행정동_코드,medical,education,shopping,bank,gov,culture,intercity,intracity,자치구명,crime_rate,clearance_rate,crime_grade
논현2동,34000,43.01,11680531,34,7,0,16,8,2,0,34,강남구,0.07556391443,0.7483215982,DANGER
능동,21900,29.23,11215780,6,2,0,0,4,0,0,6,광진구,0.03551145152,0.7731707317,NORMAL
답십리2동,47625,59.95,11230610,15,4,3,2,3,0,0,19,동대문구,0.03979262302,0.7717661692,NORMAL
당산1동,35000,46.88,11560550,9,1,0,5,6,12,0,25,영등포구,0.051559658,0.8032157427,DANGER
당산2동,54000,59.4,11560560,20,7,0,4,6,0,0,48,영등포구,0.051559658,0.8032157427,DANGER
대림2동,29172,57,11560710,17,3,0,2,4,1,0,13,영등포구,0.051559658,0.8032157427,DANGER
대방동,36000,58.65,11590660,16,14,0,5,5,0,0,63,동작구,0.03036414704,0.717196414,SAFE
대조동,19000,32.9,11380570,25,4,0,5,3,1,0,32,은평구,0.03980499635,0.765620143,NORMAL
도곡2동,95000,84.94,11680656,10,6,0,23,7,0,0,28,강남구,0.07556391443,0.7483215982,DANGER
도림동,31500,59.695,11560585,6,2,0,0,2,0,0,28,영등포구,0.051559658,0.8032157427,DANGER
도봉2동,29400,73.89,11320522,7,5,0,3,8,1,0,52,도봉구,0.02154196414,0.792073521,SAFE
도화동,42000,59.4,11440585,15,3,0,7,4,2,0,39,마포구,0.04814461946,0.7794911334,DANGER
독산3동,23000,35.13,11545630,14,7,1,4,4,0,0,29,금천구,0.02495700269,0.8477937531,SAFE
동선동,14847,36.31,11290575,14,18,0,4,1,1,0,20,성북구,0.02702334847,0.8008241758,SAFE
둔촌2동,43000,59.78,11740700,18,6,0,4,5,0,0,33,강동구,0.04145064898,0.7492537313,NORMAL
등촌1동,29750,42.645,11500520,11,1,0,5,1,1,0,20,강서구,0.04959229884,0.8510479042,DANGER
마장동,38000,59.91,11200540,8,6,0,5,6,0,0,30,성동구,0.02619433549,0.7132735002,SAFE
마천1동,19000,55.71,11710540,8,2,0,1,4,1,0,16,송파구,0.06401959935,0.7325086973,DANGER
