행정동명,보증금(만원),임대료(만원),임대면적(㎡),행정동_코드,medical,education,shopping,bank,gov,culture,intercity,intracity,자치구명,crime_rate,clearance_rate,crime_grade,lat,lon
대방동,5000.0,50.0,23.0,11590660,16,14,0,5,5,0,0,63,동작구,0.03036414704,0.717196414,SAFE,37.5081642609998,126.926343500008
대조동,3000.0,41.0,28.28,11380570,25,4,0,5,3,1,0,32,은평구,0.03980499635,0.765620143,NORMAL,37.6141899645264,126.920825111083
도곡2동,20000.0,120.0,67.5,11680656,10,6,0,23,7,0,0,28,강남구,0.07556391443,0.7483215982,DANGER,37.483728401654,127.046383821773
도림동,2000.0,55.0,30.87,11560585,6,2,0,0,2,0,0,28,영등포구,0.051559658,0.8032157427,DANGER,37.5094388403258,126.895944463887
도봉2동,1500.0,50.0,36.32,11320522,7,5,0,3,8,1,0,52,도봉구,0.02154196414,0.792073521,SAFE,37.6697151863201,127.046549203471
도화동,2000.0,55.0,22.0,11440585,15,3,0,7,4,2,0,39,마포구,0.04814461946,0.7794911334,DANGER,37.5415497123869,126.949873511116
독산3동,3000.0,46.0,29.355,11545630,14,7,1,4,4,0,0,29,금천구,0.02495700269,0.8477937531,SAFE,37.4751490651627,126.903182137349
동선동,1000.0,55.0,21.645,11290575,14,18,0,4,1,1,0,20,성북구,0.02702334847,0.8008241758,SAFE,37.5939893305551,127.020417940307
둔촌2동,10000.0,55.0,40.0,11740700,18,6,0,4,5,0,0,33,강동구,0.04145064898,0.7492537313,NORMAL,37.5333480007965,127.141963454031
등촌1동,5000.0,55.0,29.13,11500520,11,1,0,5,1,1,0,20,강서구,0.04959229884,0.8510479042,DANGER,37.5558415907103,126.858921911462
마장동,2044.0,55.0,20.0,11200540,8,6,0,5,6,0,0,30,성동구,0.02619433549,0.7132735002,SAFE,37.566379547987,127.045325760782
마천1동,4347.0,35.0,49.5,11710540,8,2,0,1,4,1,0,16,송파구,0.06401959935,0.7325086973,DANGER,37.4960185554884,127.149971448599
