행정동명,보증금(만원),임대료(만원),임대면적(㎡),행정동_코드,medical,education,shopping,bank,gov,culture,intercity,intracity,자치구명,crime_rate,clearance_rate,crime_grade,lat,lon
증산동,5000.0,55.0,48.96,11380640,8,4,2,0,3,0,0,17,은평구,0.03980499635,0.765620143,NORMAL,37.5843030609174,126.907039772766
진관동,2984.0,57.0,24.91,11380690,22,18,0,6,6,1,0,82,은평구,0.03980499635,0.765620143,NORMAL,37.6349668825061,126.92106591289
창2동,2000.0,60.0,39.92,11320512,9,2,0,0,3,0,0,44,도봉구,0.02154196414,0.792073521,SAFE,37.6413776828686,127.035658904706
창신3동,1000.0,50.0,38.57,11110690,1,2,0,0,3,0,0,6,종로구,0.03421225207,1.174683544,NORMAL,37.5778623689298,127.015002228159
천연동,5000.0,70.0,56.02,11410520,4,14,0,1,4,1,0,44,서대문구,0.02541481582,0.723466407,SAFE,37.5675017663094,126.958422464555
천호2동,3000.0,50.0,29.865,11740610,27,3,0,3,4,3,0,22,강동구,0.04145064898,0.7492537313,NORMAL,37.5423772043678,127.128329732293
청구동,3000.0,68.0,36.3,11140645,3,5,0,0,2,0,0,5,중구,0.0365631844,0.7377326565,NORMAL,37.5570313818502,127.014717375081
청담동,10000.0,130.0,49.619,11680565,31,7,0,19,11,0,0,26,강남구,0.07556391443,0.7483215982,DANGER,37.5250293348772,127.049233039691
청량리동,1000.0,79.0,23.14,11230705,17,6,0,4,9,2,0,34,동대문구,0.03979262302,0.7717661692,NORMAL,37.5830468218369,127.048170770368
청운효자동,8000.0,65.0,46.74,11110515,4,14,0,3,6,0,0,26,종로구,0.03421225207,1.174683544,NORMAL,37.5841161738353,126.97064969123
청파동,1000.0,55.0,24.92,11170555,12,30,1,2,7,1,0,35,용산구,0.0411041958,0.7450331126,NORMAL,37.54543080354,126.969863704612
충현동,4870.0,43.0,23.14,11410565,7,31,0,8,9,0,0,61,서대문구,0.02541481582,0.723466407,SAFE,37.5648190388811,126.954715932221
평창동,10000.0,80.0,79.373,11110560,6,4,0,2,6,0,0,91,종로구,0.03421225207,1.174683544,NORMAL,37.6063916960375,126.968357810931
풍납2동,5000.0,50.0,40.0,11710520,27,11,0,5,5,0,0,25,송파구,0.06401959935,0.7325086973,DANGER,37.5292392251138,127.115731280691
필동,1000.0,55.5,24.355,11140570,8,22,0,9,6,3,0,17,중구,0.0365631844,0.7377326565,NORMAL,37.5601640832367,126.995599542438
하계1동,3000.0,63.0,44.52,11350611,10,24,0,3,4,0,0,41,노원구,0.0383696903,0.7768461787,NORMAL,37.6405462557667,127.072581464765
한강로동,10000.0,110.0,42.5,11170625,21,3,5,19,19,5,0,48,용산구,0.0411041958,0.7450331126,NORMAL,37.5281422426636,126.969228070947
한남동,5000.0,250.0,59.5,11170685,14,4,3,11,30,0,0,38,용산구,0.0411041958,0.7450331126,NORMAL,37.5346298557798,127.000552132438
합정동,3000.0,65.0,31.0,11440680,10,3,0,3,4,0,0,32,마포구,0.04814461946,0.7794911334,DANGER,37.5516618139957,126.911756414276
항동,6583.0,34.0,59.86,11530800,2,12,0,0,1,0,0,37,구로구,0.04179710217,0.7291296625,NORMAL,37.4801853131194,126.823409784343
행당2동,3000.0,65.0,29.43,11200570,4,4,0,2,2,0,0,25,성동구,0.02619433549,0.7132735002,SAFE,37.5582648219048,127.0293401659
혜화동,1000.0,60.0,20.88,11110650,16,35,0,5,6,1,0,36,종로구,0.03421225207,1.174683544,NORMAL,37.5868624440017,127.00060686405
홍은1동,1000.0,47.0,32.135,11410660,7,2,0,0,3,1,0,32,서대문구,0.02541481582,0.723466407,SAFE,37.5989166778931,126.947108251212
홍제3동,5000.0,53.0,44.53,11410640,16,7,4,3,3,6,0,47,서대문구,0.02541481582,0.723466407,SAFE,37.5937821789847,126.949743382569
화곡1동,3000.0,50.0,30.0,11500540,28,3,0,2,3,1,0,29,강서구,0.04959229884,0.8510479042,DANGER,37.5303934432113,126.841601310694
화양동,1000.0,60.0,18.66,11215710,18,39,0,5,3,1,0,18,광진구,0.03551145152,0.7731707317,NORMAL,37.5464762611363,127.071367614735
황학동,3000.0,70.0,26.46,11140670,10,0,0,6,1,7,0,6,중구,0.0365631844,0.7377326565,NORMAL,37.5674999372117,127.021415848975
회기동,1000.0,55.0,20.34,11230710,11,20,0,5,3,0,0,10,동대문구,0.03979262302,0.7717661692,NORMAL,37.5907885967281,127.05537245757
회현동,3000.0,60.0,28.85,11140540,16,3,2,17,9,3,0,41,중구,0.0365631844,0.7377326565,NORMAL,37.5572755681352,126.979370256256
효창동,10000.0,67.5,52.275,11170580,5,3,0,1,1,0,0,24,용산구,0.0411041958,0.7450331126,NORMAL,37.5424588083349,126.9618988792
후암동,3000.0,60.0,41.6,11170510,7,4,2,1,6,0,0,18,용산구,0.0411041958,0.7450331126,NORMAL,37.5486798277286,126.978150463736
휘경2동,1000.0,55.0,19.0,11230730,6,13,0,1,5,0,0,27,동대문구,0.03979262302,0.7717661692,NORMAL,37.5901076994926,127.068614843098
흑석동,2000.0,60.0,27.0,11590605,25,26,0,6,6,1,0,51,동작구,0.03036414704,0.717196414,SAFE,37.5057750153538,126.966590753167
