행정동명,보증금(만원),임대면적(㎡),행정동_코드,medical,education,shopping,bank,gov,culture,intercity,intracity,자치구명,crime_rate,clearance_rate,crime_grade,lat,lon
도곡2동,95000.0,84.94,11680656,10,6,0,23,7,0,0,28,강남구,0.07556391443,0.7483215982,DANGER,37.483728401654,127.046383821773
도림동,31500.0,59.695,11560585,6,2,0,0,2,0,0,28,영등포구,0.051559658,0.8032157427,DANGER,37.5094388403258,126.895944463887
도봉2동,29400.0,73.89,11320522,7,5,0,3,8,1,0,52,도봉구,0.02154196414,0.792073521,SAFE,37.6697151863201,127.046549203471
도화동,42000.0,59.4,11440585,15,3,0,7,4,2,0,39,마포구,0.04814461946,0.7794911334,DANGER,37.5415497123869,126.949873511116
독산3동,23000.0,35.13,11545630,14,7,1,4,4,0,0,29,금천구,0.02495700269,0.8477937531,SAFE,37.4751490651627,126.903182137349
동선동,14847.0,36.31,11290575,14,18,0,4,1,1,0,20,성북구,0.02702334847,0.8008241758,SAFE,37.5939893305551,127.020417940307
둔촌2동,43000.0,59.78,11740700,18,6,0,4,5,0,0,33,강동구,0.04145064898,0.7492537313,NORMAL,37.5333480007965,127.141963454031
등촌1동,29750.0,42.645,11500520,11,1,0,5,1,1,0,20,강서구,0.04959229884,0.8510479042,DANGER,37.5558415907103,126.858921911462
마장동,38000.0,59.91,11200540,8,6,0,5,6,0,0,30,성동구,0.02619433549,0.7132735002,SAFE,37.566379547987,127.045325760782
마천1동,19000.0,55.71,11710540,8,2,0,1,4,1,0,16,송파구,0.06401959935,0.7325086973,DANGER,37.4960185554884,127.149971448599
망우본동,25400.0,49.59,11260655,30,10,9,4,9,2,0,56,중랑구,0.0392110766,0.7772167876,NORMAL,37.6005319691714,127.101414648372
망원1동,27175.0,47.21,11440690,11,0,0,2,2,1,0,23,마포구,0.04814461946,0.7794911334,DANGER,37.5555962174351,126.905604188078
면목본동,22000.0,44.35,11260565,18,3,13,2,4,1,0,31,중랑구,0.0392110766,0.7772167876,NORMAL,37.5872805191923,127.087488538133
명동,20000.0,18.6,11140550,35,5,0,46,20,15,0,30,중구,0.0365631844,0.7377326565,NORMAL,37.5583576447484,126.985241620075
명일1동,44875.0,66.87,11740530,19,1,0,6,5,0,0,23,강동구,0.04145064898,0.7492537313,NORMAL,37.5512605741443,127.144346767847
목5동,47000.0,61.56,11470550,13,11,0,9,8,0,0,52,양천구,0.03711998416,0.7043333333,NORMAL,37.53717991831,126.881717459292
무악동,76800.0,84.858,11110570,5,2,0,1,2,0,0,8,종로구,0.03421225207,1.174683544,NORMAL,37.5759854736853,126.958245677349
묵1동,28900.0,59.76,11260620,13,7,0,2,4,0,0,34,중랑구,0.0392110766,0.7772167876,NORMAL,37.6124136763103,127.078484387322
문래동,47000.0,70.705,11560605,17,5,0,9,8,2,0,57,영등포구,0.051559658,0.8032157427,DANGER,37.5171112504905,126.899485634762
미아동,28300.0,59.67,11305535,15,5,0,3,3,0,0,29,강북구,0.02832254792,0.9003931848,SAFE,37.6270831294021,127.027060776679
반포3동,90000.0,84.54,11650580,11,2,0,7,3,0,0,18,서초구,0.04687016667,0.772967265,NORMAL,37.5120469957584,127.00561014665
반포4동,83500.0,71.49,11650581,13,4,0,12,7,1,0,36,서초구,0.04687016667,0.772967265,NORMAL,37.4974688612417,127.000307593388
발산1동,47000.0,80.1,11500611,36,17,1,9,3,0,0,63,강서구,0.04959229884,0.8510479042,DANGER,37.5530979481591,126.833264722295
방배본동,43893.0,57.5,11650590,16,1,1,6,2,0,0,25,서초구,0.04687016667,0.772967265,NORMAL,37.4942175065077,126.988886408987
방학3동,21250.0,59.7305,11320710,6,7,0,3,3,0,0,47,도봉구,0.02154196414,0.792073521,SAFE,37.6591579398209,127.028033457923
방화1동,31500.0,52.65,11500630,23,11,0,3,2,1,0,47,강서구,0.04959229884,0.8510479042,DANGER,37.5703442238475,126.817052873863
방화2동,8500.0,28.995,11500640,7,5,2,0,4,1,4,42,강서구,0.04959229884,0.8510479042,DANGER,37.5667130007593,126.80673880486
번2동,16500.0,41.3,11305603,7,2,0,0,5,1,0,54,강북구,0.02832254792,0.9003931848,SAFE,37.6276612500456,127.035090468244
보광동,23100.0,59.7,11170700,8,9,0,1,4,0,0,14,용산구,0.0411041958,0.7450331126,NORMAL,37.5262721673188,127.000171956489
보문동,55000.0,59.791,11290610,6,2,0,4,4,1,0,12,성북구,0.02702334847,0.8008241758,SAFE,37.5803802951263,127.022823355231
부암동,28750.0,62.685,11110550,1,19,0,2,4,0,0,38,종로구,0.03421225207,1.174683544,NORMAL,37.5924142953536,126.964061015983
북가좌1동,27800.0,59.97,11410710,5,5,0,2,1,0,0,13,서대문구,0.02541481582,0.723466407,SAFE,37.5742792384461,126.910185660454
북아현동,48300.0,59.96,11410555,8,3,0,2,2,0,0,17,서대문구,0.02541481582,0.723466407,SAFE,37.559565244981,126.956901214305
불광2동,22000.0,54.19,11380530,5,7,3,1,6,0,0,32,은평구,0.03980499635,0.765620143,NORMAL,37.6265016239314,126.92730531944
사근동,11000.0,24.93,11200550,11,57,1,3,5,0,0,36,성동구,0.02619433549,0.7132735002,SAFE,37.5614997515694,127.045327331714
사당2동,80000.0,84.95,11590630,14,4,0,2,3,2,0,40,동작구,0.03036414704,0.717196414,SAFE,37.4887524986309,126.979253427857
사당3동,40000.0,59.89,11590640,5,6,1,1,3,0,0,31,동작구,0.03036414704,0.717196414,SAFE,37.4866246436295,126.972085412956
사직동,52500.0,70.8,11110530,15,3,0,24,18,3,0,36,종로구,0.03421225207,1.174683544,NORMAL,37.5754222287938,126.96631967084
삼선동,45000.0,62.39,11290555,14,18,0,5,7,0,0,48,성북구,0.02702334847,0.8008241758,SAFE,37.5908295073389,127.014651562653
삼성2동,73500.0,70.0,11680590,11,3,0,11,10,0,0,32,강남구,0.07556391443,0.7483215982,DANGER,37.511263280788,127.046070584216
삼전동,22950.0,41.233,11710610,14,6,0,2,4,1,0,13,송파구,0.06401959935,0.7325086973,DANGER,37.5027233386057,127.092519707191
삼청동,22000.0,46.27,11110540,2,4,0,4,10,0,0,16,종로구,0.03421225207,1.174683544,NORMAL,37.5849977825639,126.981758302922
상계67동,24150.0,49.94,11110770,31,10,0,11,9,1,0,40,노원구,0.0383696903,0.7768461787,NORMAL,37.6548860243488,127.066965479758
상도1동,34000.0,59.816,11590530,17,28,0,4,5,0,0,49,동작구,0.03036414704,0.717196414,SAFE,37.5032426328398,126.94974984805
상봉1동,26000.0,45.55,11260580,9,6,0,1,3,0,0,16,중랑구,0.0392110766,0.7772167876,NORMAL,37.59984775288,127.087213355959
상암동,57500.0,84.73,11440740,14,8,1,11,10,0,0,108,마포구,0.04814461946,0.7794911334,DANGER,37.5783209050877,126.894689433213
상일1동,71400.0,84.23,11250760,9,13,0,2,4,0,0,37,강동구,0.04145064898,0.7492537313,NORMAL,37.5506429952456,127.164620395091
서강동,59500.0,61.295,11440655,7,22,0,4,6,0,0,66,마포구,0.04814461946,0.7794911334,DANGER,37.5477468723032,126.932030551178
서교동,24000.0,33.0,11440660,31,4,0,22,13,8,0,95,마포구,0.04814461946,0.7794911334,DANGER,37.5550949138083,126.914613374473
서빙고동,25000.0,60.21,11170690,1,2,0,1,15,0,0,22,용산구,0.0411041958,0.7450331126,NORMAL,37.5204623812775,126.994638088433
서초3동,56500.0,59.92,11650530,33,8,0,30,25,0,0,80,서초구,0.04687016667,0.772967265,NORMAL,37.4837080639573,127.01200750943
석관동,21000.0,40.62,11290810,16,6,1,3,6,2,0,34,성북구,0.02702334847,0.8008241758,SAFE,37.6129860183721,127.0614007785
석촌동,24850.0,41.17,11710600,29,5,0,7,3,0,0,20,송파구,0.06401959935,0.7325086973,DANGER,37.5035646306702,127.103667384036
성내3동,26000.0,45.98,11740660,13,4,0,5,4,0,0,14,강동구,0.04145064898,0.7492537313,NORMAL,37.5260568372238,127.13289932744
성북동,24250.0,48.095,11290525,6,13,0,4,6,0,0,55,성북구,0.02702334847,0.8008241758,SAFE,37.5910466093958,127.003274531869
성산2동,30000.0,50.03,11440730,13,7,1,3,6,1,0,49,마포구,0.04814461946,0.7794911334,DANGER,37.5686128513415,126.908969977715
성수1가1동,58900.0,59.885,11200650,4,5,0,2,4,1,0,34,성동구,0.02619433549,0.7132735002,SAFE,37.5420797008053,127.049651600525
성수2가3동,26225.0,52.755,11200690,11,2,0,16,3,1,0,21,성동구,0.02619433549,0.7132735002,SAFE,37.5482184239097,127.055250421934
세곡동,54000.0,74.74,11680700,9,9,0,1,4,0,0,95,강남구,0.07556391443,0.7483215982,DANGER,37.4644437055761,127.106760267266
소공동,37000.0,44.48,11140520,10,8,1,29,13,6,0,40,중구,0.0365631844,0.7377326565,NORMAL,37.5638997702146,126.97979400965
송정동,19000.0,34.95,11200720,6,1,0,0,2,0,0,17,성동구,0.02619433549,0.7132735002,SAFE,37.5545322586259,127.069569072089
송파2동,34000.0,53.39,11710590,11,9,0,1,3,0,0,7,송파구,0.06401959935,0.7325086973,DANGER,37.5023378540006,127.116766391715
수궁동,16000.0,57.19,11530790,5,10,1,1,3,0,0,72,구로구,0.04179710217,0.7291296625,NORMAL,37.4938815927112,126.831478611978
수색동,62000.0,78.285,11380650,5,2,2,2,5,0,0,23,은평구,0.03980499635,0.765620143,NORMAL,37.5835205431622,126.893690338772
수서동,47000.0,49.2,11680750,11,6,0,3,3,0,0,25,강남구,0.07556391443,0.7483215982,DANGER,37.4868187699686,127.105426218127
수유1동,16000.0,47.45,11305615,12,6,1,2,4,0,0,41,강북구,0.02832254792,0.9003931848,SAFE,37.6292195545746,127.007105243262
숭인2동,23000.0,27.3,11110710,5,0,2,3,4,3,0,8,종로구,0.03421225207,1.174683544,NORMAL,37.5748775396923,127.01996896628
시흥1동,18800.0,49.75,11545670,28,7,0,7,9,3,0,53,금천구,0.02495700269,0.8477937531,SAFE,37.4535392677412,126.903250685753
신길7동,35000.0,59.97,11560690,7,2,0,1,5,1,0,33,영등포구,0.051559658,0.8032157427,DANGER,37.5063735330337,126.921477469472
신내1동,23000.0,59.88,11260680,14,4,0,2,3,0,0,54,중랑구,0.0392110766,0.7772167876,NORMAL,37.6058746703089,127.099496657031
신당동,21373.5,24.15,11140615,13,5,3,5,7,1,0,10,중구,0.0365631844,0.7377326565,NORMAL,37.5620157313143,127.014442188261
신대방1동,47750.0,59.936,11590670,10,6,0,1,3,0,0,16,동작구,0.03036414704,0.717196414,SAFE,37.4889471309296,126.910048211189
신도림동,53000.0,66.03,11530510,12,6,2,4,5,2,0,46,구로구,0.04179710217,0.7291296625,NORMAL,37.5077809050365,126.880610228674
신수동,51950.0,59.85,11440630,6,4,0,1,4,0,0,24,마포구,0.04814461946,0.7794911334,DANGER,37.5470206619261,126.935226865858
신월3동,22435.0,52.85,11470580,7,7,0,1,2,0,0,8,양천구,0.03711998416,0.7043333333,NORMAL,37.5336736083473,126.829053899725
신정1동,44100.0,66.24,11470620,9,5,0,3,7,0,0,26,양천구,0.03711998416,0.7043333333,NORMAL,37.5185381615639,126.854272909009
신촌동,20000.0,23.45,11410585,23,115,1,10,6,7,0,62,서대문구,0.02541481582,0.723466407,SAFE,37.5651616940517,126.93927687604
쌍문3동,24000.0,58.77,11320680,13,1,0,3,3,1,0,18,도봉구,0.02154196414,0.792073521,SAFE,37.6489660489945,127.027934441938
안암동,14000.0,44.96,11290600,12,74,0,6,4,0,0,36,성북구,0.02702334847,0.8008241758,SAFE,37.5858189680127,127.021344106907
암사1동,38201.0,59.891,11740570,8,3,1,1,2,0,0,13,강동구,0.04145064898,0.7492537313,NORMAL,37.5515625771126,127.132682054831
압구정동,55000.0,82.23,11680545,35,6,3,25,4,3,0,20,강남구,0.07556391443,0.7483215982,DANGER,37.5306686414268,127.030809170421
양재1동,35488.0,59.97,11650651,21,9,0,11,12,0,0,88,서초구,0.04687016667,0.772967265,NORMAL,37.4716393313202,127.026728803944
양평1동,36000.0,59.58,11560610,7,2,0,3,5,1,0,23,영등포구,0.051559658,0.8032157427,DANGER,37.5236460161437,126.888227693253
양평2동,31500.0,37.66,11560620,7,6,0,6,8,3,0,36,영등포구,0.051559658,0.8032157427,DANGER,37.5377447245086,126.89594587648
여의동,65000.0,92.13,11560540,45,6,0,70,23,1,0,66,영등포구,0.051559658,0.8032157427,DANGER,37.5176044401503,126.934609800644
역삼1동,31000.0,36.92,11680640,68,2,0,49,15,4,0,45,강남구,0.07556391443,0.7483215982,DANGER,37.4954279212043,127.033201088112
역촌동,20650.0,44.24,11380625,20,3,0,5,5,0,0,51,은평구,0.03980499635,0.765620143,NORMAL,37.6043976551679,126.915123289569
연남동,23000.0,48.16,11440710,2,4,0,1,2,0,0,23,마포구,0.04814461946,0.7794911334,DANGER,37.5644776141885,126.922023205508
연희동,20000.0,53.815,11410615,17,18,0,7,7,2,0,70,서대문구,0.02541481582,0.723466407,SAFE,37.5739100104158,126.935230751932
염리동,45100.0,59.74,11440610,3,7,0,1,3,2,0,10,마포구,0.04814461946,0.7794911334,DANGER,37.5470619620453,126.94565571696
염창동,49000.0,59.99,11500510,16,4,0,3,5,0,0,37,강서구,0.04959229884,0.8510479042,DANGER,37.553736243135,126.870985348962
영등포동,25700.0,28.86,11560535,41,2,0,17,10,17,0,42,영등포구,0.051559658,0.8032157427,DANGER,37.5134118222973,126.906168599588
오금동,38488.0,59.87,11710570,13,12,0,5,5,0,0,30,송파구,0.06401959935,0.7325086973,DANGER,37.5029748269764,127.128103930329
오류1동,20000.0,45.5,11530770,11,4,0,4,5,0,0,23,구로구,0.04179710217,0.7291296625,NORMAL,37.4970933382633,126.845050656227
오류2동,24923.0,84.92,11530780,10,12,0,1,3,0,0,87,구로구,0.04179710217,0.7291296625,NORMAL,37.4887786989241,126.839536320952
오륜동,31500.0,50.485,11710566,6,19,0,6,4,0,0,18,송파구,0.06401959935,0.7325086973,DANGER,37.515416211056,127.134305677243
옥수동,75000.0,84.51,11200645,10,6,0,2,4,0,0,47,성동구,0.02619433549,0.7132735002,SAFE,37.5435886378543,127.013438338877
왕십리2동,68000.0,59.99,11200520,5,2,0,0,2,0,0,19,성동구,0.02619433549,0.7132735002,SAFE,37.561796307227,127.030994021909
왕십리도선동,30000.0,46.0,11200535,22,6,0,4,4,0,0,26,성동구,0.02619433549,0.7132735002,SAFE,37.5678811410707,127.025531625263
용강동,55000.0,59.96,11440590,11,3,0,6,7,0,0,25,마포구,0.04814461946,0.7794911334,DANGER,37.54231770904,126.942708117541
용답동,22500.0,26.23,11200790,8,1,1,2,7,0,0,13,성동구,0.02619433549,0.7132735002,SAFE,37.5640758244216,127.055579052769
용문동,28682.5,40.505,11170590,3,0,0,0,1,0,0,22,용산구,0.0411041958,0.7450331126,NORMAL,37.5377008640148,126.959891817892
용산2가동,20000.0,50.77,11170520,4,5,0,0,3,0,0,30,용산구,0.0411041958,0.7450331126,NORMAL,37.5461257352926,126.985574456915
용두동,28000.0,40.88,11230536,25,4,1,8,10,5,0,46,동대문구,0.03979262302,0.7717661692,NORMAL,37.575418648042,127.033598820976
우이동,16880.0,52.2,11305645,7,4,0,0,2,0,0,57,강북구,0.02832254792,0.9003931848,SAFE,37.6630390800112,127.001890452891
원효로1동,34650.0,38.61,11170560,6,5,4,3,6,0,0,31,용산구,0.0411041958,0.7450331126,NORMAL,37.5373284451334,126.967712666408
원효로2동,26600.0,39.98,11170570,4,5,2,2,4,0,0,27,용산구,0.0411041958,0.7450331126,NORMAL,37.5343604221086,126.951530188917
월계2동,28000.0,59.22,11350570,5,23,0,0,4,0,0,65,노원구,0.0383696903,0.7768461787,NORMAL,37.6324884457576,127.050744895708
월곡2동,22500.0,59.52,11290725,12,15,0,4,6,0,0,36,성북구,0.02702334847,0.8008241758,SAFE,37.6057915694886,127.047886454933
위례동,63000.0,59.97,11710647,5,5,0,1,3,0,0,32,송파구,0.06401959935,0.7325086973,DANGER,37.4811482419831,127.144257010883
은천동,30000.0,58.59,11620605,9,5,0,0,6,0,0,43,관악구,0.05549437632,0.7839464883,DANGER,37.4853777674732,126.94250287828
을지로동,60000.0,47.98,11140605,13,0,1,10,5,5,0,24,중구,0.0365631844,0.7377326565,NORMAL,37.5665933374822,126.991062500268
응봉동,53275.0,75.51,11200580,2,2,0,0,3,0,0,31,성동구,0.02619433549,0.7132735002,SAFE,37.553160488276,127.033416807797
응암3동,47000.0,59.96,11380600,17,5,2,3,3,0,0,31,은평구,0.03980499635,0.765620143,NORMAL,37.5922419251438,126.915734945869
이문1동,49575.0,59.95,11230740,13,35,0,2,5,0,0,27,동대문구,0.03979262302,0.7717661692,NORMAL,37.5978219540464,127.065505630651
이촌2동,65000.0,84.78,11170640,1,0,0,0,2,0,0,11,용산구,0.0411041958,0.7450331126,NORMAL,37.5262598665621,126.954675898191
이태원1동,28500.0,44.76,11170650,3,1,3,5,8,0,0,15,용산구,0.0411041958,0.7450331126,NORMAL,37.5325069970311,126.99509883212
이화동,16500.0,35.0,11110640,12,39,0,4,4,0,0,29,종로구,0.03421225207,1.174683544,NORMAL,37.5769946840177,127.004338052474
자양4동,30000.0,47.495,11215847,16,2,1,2,5,1,0,17,광진구,0.03551145152,0.7731707317,NORMAL,37.5340742469272,127.066305179223
잠실6동,90000.0,84.79,11710710,24,2,0,17,4,1,0,15,송파구,0.06401959935,0.7325086973,DANGER,37.5181274574865,127.100660517951
잠실본동,59150.0,76.5,11710650,25,1,0,9,5,0,0,13,송파구,0.06401959935,0.7325086973,DANGER,37.5060603472207,127.083254253495
장안1동,30000.0,55.14,11230650,30,6,0,11,5,0,0,44,동대문구,0.03979262302,0.7717661692,NORMAL,37.5677895234585,127.066439189872
장위1동,21850.0,54.57,11290760,8,8,0,1,4,0,0,37,성북구,0.02702334847,0.8008241758,SAFE,37.6140390353236,127.043732759303
장지동,37480.0,48.96,11710646,10,7,0,3,4,1,0,42,송파구,0.06401959935,0.7325086973,DANGER,37.4785083981102,127.136582139995
장충동,31250.0,37.97,11140580,1,4,0,2,6,3,0,14,중구,0.0365631844,0.7377326565,NORMAL,37.5619118374182,127.007859437008
전농1동,35500.0,56.79,11230560,14,6,0,2,5,6,0,38,동대문구,0.03979262302,0.7717661692,NORMAL,37.5780230697113,127.047705647167
정릉3동,29400.0,59.94,11290640,2,33,0,1,4,0,0,38,성북구,0.02702334847,0.8008241758,SAFE,37.6089294464121,127.004190410838
제기동,24250.0,45.32,11230545,23,8,3,5,4,14,0,31,동대문구,0.03979262302,0.7717661692,NORMAL,37.5831154639891,127.037818414722
종로1234가동,24000.0,34.15,11010610,47,7,1,35,19,22,0,72,종로구,0.03421225207,1.174683544,NORMAL,37.5744355396605,126.990287260844
종로56가동,22275.0,21.795,11010630,31,2,4,8,7,3,0,24,종로구,0.03421225207,1.174683544,NORMAL,37.5720319758374,127.005071290563
종암동,45000.0,59.98,11290705,18,10,0,2,7,0,0,56,성북구,0.02702334847,0.8008241758,SAFE,37.5990602270306,127.035212918853
중계1동,32000.0,59.26,11350621,7,5,0,3,2,0,0,18,노원구,0.0383696903,0.7768461787,NORMAL,37.6525478299759,127.077502189744
중곡2동,20895.0,38.285,11215750,14,2,0,4,2,0,0,23,광진구,0.03551145152,0.7731707317,NORMAL,37.5602945934343,127.081526307691
중림동,70780.0,68.07,11140680,7,4,0,2,3,5,0,14,중구,0.0365631844,0.7377326565,NORMAL,37.559168225382,126.966182119336
중화2동,22000.0,37.705,11260610,14,0,2,3,2,0,0,35,중랑구,0.0392110766,0.7772167876,NORMAL,37.6020061617272,127.077399901172
증산동,66000.0,80.931,11380640,8,4,2,0,3,0,0,17,은평구,0.03980499635,0.765620143,NORMAL,37.5843030609174,126.907039772766
진관동,39950.0,84.69,11380690,22,18,0,6,6,1,0,82,은평구,0.03980499635,0.765620143,NORMAL,37.6349668825061,126.92106591289
창2동,25800.0,58.01,11320512,9,2,0,0,3,0,0,44,도봉구,0.02154196414,0.792073521,SAFE,37.6413776828686,127.035658904706
창신3동,28180.0,54.7,11110690,1,2,0,0,3,0,0,6,종로구,0.03421225207,1.174683544,NORMAL,37.5778623689298,127.015002228159
천연동,55000.0,59.86,11410520,4,14,0,1,4,1,0,44,서대문구,0.02541481582,0.723466407,SAFE,37.5675017663094,126.958422464555
천호2동,25000.0,41.105,11740610,27,3,0,3,4,3,0,22,강동구,0.04145064898,0.7492537313,NORMAL,37.5423772043678,127.128329732293
청구동,47125.0,59.94,11140645,3,5,0,0,2,0,0,5,중구,0.0365631844,0.7377326565,NORMAL,37.5570313818502,127.014717375081
청담동,85000.0,82.3575,11680565,31,7,0,19,11,0,0,26,강남구,0.07556391443,0.7483215982,DANGER,37.5250293348772,127.049233039691
청량리동,24500.0,48.77,11230705,17,6,0,4,9,2,0,34,동대문구,0.03979262302,0.7717661692,NORMAL,37.5830468218369,127.048170770368
청운효자동,29700.0,59.97,11110515,4,14,0,3,6,0,0,26,종로구,0.03421225207,1.174683544,NORMAL,37.5841161738353,126.97064969123
청파동,25000.0,29.02,11170555,12,30,1,2,7,1,0,35,용산구,0.0411041958,0.7450331126,NORMAL,37.54543080354,126.969863704612
충현동,30250.0,68.235,11410565,7,31,0,8,9,0,0,61,서대문구,0.02541481582,0.723466407,SAFE,37.5648190388811,126.954715932221
평창동,44100.0,84.84,11110560,6,4,0,2,6,0,0,91,종로구,0.03421225207,1.174683544,NORMAL,37.6063916960375,126.968357810931
풍납2동,49000.0,63.39,11710520,27,11,0,5,5,0,0,25,송파구,0.06401959935,0.7325086973,DANGER,37.5292392251138,127.115731280691
