행정동명,보증금(만원),임대료(만원),임대면적(㎡),행정동_코드,medical,education,shopping,bank,gov,culture,intercity,intracity,자치구명,crime_rate,clearance_rate,crime_grade
면목본동,2000,45,32.93,11260565,18,3,13,2,4,1,0,31,중랑구,0.0392110766,0.7772167876,NORMAL
명동,1000,70,20.28,11140550,35,5,0,46,20,15,0,30,중구,0.0365631844,0.7377326565,NORMAL
명일1동,8749,70,42.93,11740530,19,1,0,6,5,0,0,23,강동구,0.04145064898,0.7492537313,NORMAL
목5동,10000,60,44.01,11470550,13,11,0,9,8,0,0,52,양천구,0.03711998416,0.7043333333,NORMAL
무악동,15000,165,84.858,11110570,5,2,0,1,2,0,0,8,종로구,0.03421225207,1.174683544,NORMAL
묵1동,3000,47,33,11260620,13,7,0,2,4,0,0,34,중랑구,0.0392110766,0.7772167876,NORMAL
문래동,25000,65,59.9,11560605,17,5,0,9,8,2,0,57,영등포구,0.051559658,0.8032157427,DANGER
미아동,1000,50,37.2,11305535,15,5,0,3,3,0,0,29,강북구,0.02832254792,0.9003931848,SAFE
반포3동,25250,132,79.42,11650580,11,2,0,7,3,0,0,18,서초구,0.04687016667,0.772967265,NORMAL
반포4동,10000,105,59.26,11650581,13,4,0,12,7,1,0,36,서초구,0.04687016667,0.772967265,NORMAL
발산1동,4743,47,41.625,11500611,36,17,1,9,3,0,0,63,강서구,0.04959229884,0.8510479042,DANGER
방배본동,8000,70,42.26,11650590,16,1,1,6,2,0,0,25,서초구,0.04687016667,0.772967265,NORMAL
방학3동,1000,54,40,11320710,6,7,0,3,3,0,0,47,도봉구,0.02154196414,0.792073521,SAFE
방화1동,2000,60,23.84,11500630,23,11,0,3,2,1,0,47,강서구,0.04959229884,0.8510479042,DANGER
방화2동,500,35,22.515,11500640,7,5,2,0,4,1,4,42,강서구,0.04959229884,0.8510479042,DANGER
번2동,1000,50,30,11305603,7,2,0,0,5,1,0,54,강북구,0.02832254792,0.9003931848,SAFE
보광동,1500,65,49.44,11170700,8,9,0,1,4,0,0,14,용산구,0.0411041958,0.7450331126,NORMAL
보문동,3000,54.5,31.0575,11290610,6,2,0,4,4,1,0,12,성북구,0.02702334847,0.8008241758,SAFE
부암동,3000,50,33.8,11110550,1,19,0,2,4,0,0,38,종로구,0.03421225207,1.174683544,NORMAL
북가좌1동,2000,50,39.6,11410710,5,5,0,2,1,0,0,13,서대문구,0.02541481582,0.723466407,SAFE
북아현동,3000,72,48,11410555,8,3,0,2,2,0,0,17,서대문구,0.02541481582,0.723466407,SAFE
불광2동,5000,41,35.115,11380530,5,7,3,1,6,0,0,32,은평구,0.03980499635,0.765620143,NORMAL
사근동,1000,55,18.36,11200550,11,57,1,3,5,0,0,36,성동구,0.02619433549,0.7132735002,SAFE
사당2동,44450,122.5,84.95,11590630,14,4,0,2,3,2,0,40,동작구,0.03036414704,0.717196414,SAFE
사당3동,4000,55,30,11590640,5,6,1,1,3,0,0,31,동작구,0.03036414704,0.717196414,SAFE
사직동,1000,105,37.56,11110530,15,3,0,24,18,3,0,36,종로구,0.03421225207,1.174683544,NORMAL
삼선동,3000,60,38,11290555,14,18,0,5,7,0,0,48,성북구,0.02702334847,0.8008241758,SAFE
삼성2동,10000,110,53.86,11680590,11,3,0,11,10,0,0,32,강남구,0.07556391443,0.7483215982,DANGER
삼전동,8000,50,36.3,11710610,14,6,0,2,4,1,0,13,송파구,0.06401959935,0.7325086973,DANGER
삼청동,3500,66,48.415,11110540,2,4,0,4,10,0,0,16,종로구,0.03421225207,1.174683544,NORMAL
상계67동,3000,50,45.55,11110770,31,10,0,11,9,1,0,40,노원구,0.0383696903,0.7768461787,NORMAL
상도1동,2000,52,20,11590530,17,28,0,4,5,0,0,49,동작구,0.03036414704,0.717196414,SAFE
상봉1동,7542,50,26.4,11260580,9,6,0,1,3,0,0,16,중랑구,0.0392110766,0.7772167876,NORMAL
상암동,2498,60,25.48,11440740,14,8,1,11,10,0,0,108,마포구,0.04814461946,0.7794911334,DANGER
상일1동,10000,50,59.97,11250760,9,13,0,2,4,0,0,37,강동구,0.04145064898,0.7492537313,NORMAL
서강동,2000,59,25.01,11440655,7,22,0,4,6,0,0,66,마포구,0.04814461946,0.7794911334,DANGER
서교동,2000,65,26.07,11440660,31,4,0,22,13,8,0,95,마포구,0.04814461946,0.7794911334,DANGER
서빙고동,4000,73,64.97,11170690,1,2,0,1,15,0,0,22,용산구,0.0411041958,0.7450331126,NORMAL
서초3동,5000,92,32.69,11650530,33,8,0,30,25,0,0,80,서초구,0.04687016667,0.772967265,NORMAL
석관동,1000,50,31.39,11290810,16,6,1,3,6,2,0,34,성북구,0.02702334847,0.8008241758,SAFE
석촌동,5000,53,29.97,11710600,29,5,0,7,3,0,0,20,송파구,0.06401959935,0.7325086973,DANGER
성내3동,5000,50,30.25,11740660,13,4,0,5,4,0,0,14,강동구,0.04145064898,0.7492537313,NORMAL
성북동,4000,56,34.03,11290525,6,13,0,4,6,0,0,55,성북구,0.02702334847,0.8008241758,SAFE
성산2동,3000,70,20.57,11440730,13,7,1,3,6,1,0,49,마포구,0.04814461946,0.7794911334,DANGER
성수1가1동,5000,100,40.72,11200650,4,5,0,2,4,1,0,34,성동구,0.02619433549,0.7132735002,SAFE
성수2가3동,3000,70,32.28,11200690,11,2,0,16,3,1,0,21,성동구,0.02619433549,0.7132735002,SAFE
세곡동,6000,70,26.78,11680700,9,9,0,1,4,0,0,95,강남구,0.07556391443,0.7483215982,DANGER
소공동,2250,140,41.14,11140520,10,8,1,29,13,6,0,40,중구,0.0365631844,0.7377326565,NORMAL
송정동,1000,50,30,11200720,6,1,0,0,2,0,0,17,성동구,0.02619433549,0.7132735002,SAFE
송파2동,9000,55.5,35.445,11710590,11,9,0,1,3,0,0,7,송파구,0.06401959935,0.7325086973,DANGER
수궁동,2500,47,46.51,11530790,5,10,1,1,3,0,0,72,구로구,0.04179710217,0.7291296625,NORMAL
수색동,10000,100,59.96,11380650,5,2,2,2,5,0,0,23,은평구,0.03980499635,0.765620143,NORMAL
수서동,10000,105,39.6,11680750,11,6,0,3,3,0,0,25,강남구,0.07556391443,0.7483215982,DANGER
수유1동,1000,50,28,11305615,12,6,1,2,4,0,0,41,강북구,0.02832254792,0.9003931848,SAFE
숭인2동,1000,62,22.42,11110710,5,0,2,3,4,3,0,8,종로구,0.03421225207,1.174683544,NORMAL
시흥1동,2000,40,34.45,11545670,28,7,0,7,9,3,0,53,금천구,0.02495700269,0.8477937531,SAFE
신길7동,2000,50,30.27,11560690,7,2,0,1,5,1,0,33,영등포구,0.051559658,0.8032157427,DANGER
신내1동,5000,34,49.69,11260680,14,4,0,2,3,0,0,54,중랑구,0.0392110766,0.7772167876,NORMAL
신당동,1000,78,23.82,11140615,13,5,3,5,7,1,0,10,중구,0.0365631844,0.7377326565,NORMAL
